DATE TIME,AGP
2015-01-05,28.0
2015-01-06,31.0
2015-01-07,29.0
2015-01-08,27.0
2015-01-09,30.0
2015-01-10,28.0
2015-01-11,24.0
2015-01-12,24.0
2015-01-13,21.0
2015-01-14,20.0
2015-01-15,24.0
2015-01-16,30.0
2015-01-17,29.0
2015-01-18,27.0
2015-01-19,25.0
2015-01-20,22.0
2015-01-21,21.0
2015-01-22,22.0
2015-01-23,23.0
2015-01-24,28.0
2015-01-25,31.0
2015-01-26,32.0
2015-01-27,27.0
2015-01-28,20.0
2015-01-29,22.0
2015-01-30,23.0
2015-01-31,23.0
2015-02-01,26.0
2015-02-02,27.0
2015-02-03,26.0
2015-02-04,28.0
2015-02-05,32.0
2015-02-06,27.0
2015-02-07,27.0
2015-02-08,28.0
2015-02-09,20.0
2015-02-10,17.0
2015-02-11,28.0
2015-02-12,32.0
2015-02-13,33.0
2015-02-14,31.0
2015-02-15,31.0
2015-02-16,29.0
2015-02-17,30.0
2015-02-18,31.0
2015-02-19,29.0
2015-02-20,28.0
2015-02-21,21.0
2015-02-22,14.0
2015-02-23,11.0
2015-02-24,11.0
2015-02-25,23.0
2015-02-26,25.0
2015-02-27,18.0
2015-02-28,13.0
2015-03-01,12.0
2015-03-02,8.0
2015-03-03,9.0
2015-03-04,10.0
2015-03-05,18.0
2015-03-06,21.0
2015-03-07,25.0
2015-03-08,26.0
2015-03-09,28.0
2015-03-10,27.0
2015-03-11,26.0
2015-03-12,25.0
2015-03-13,28.0
2015-03-14,33.0
2015-03-15,32.0
2015-03-16,29.0
2015-03-17,31.0
2015-03-18,30.0
2015-03-19,28.0
2015-03-20,30.0
2015-03-21,27.0
2015-03-22,27.0
2015-03-23,27.0
2015-03-24,24.0
2015-03-25,27.0
2015-03-26,31.0
2015-03-27,32.0
2015-03-28,29.0
2015-03-29,32.0
2015-03-30,32.0
2015-03-31,25.0
2015-04-01,21.0
2015-04-02,16.0
2015-04-03,20.0
2015-04-04,24.0
2015-04-05,22.0
2015-04-06,21.0
2015-04-07,14.0
2015-04-08,9.0
2015-04-09,14.0
2015-04-10,19.0
2015-04-11,22.0
2015-04-12,27.0
2015-04-13,30.0
2015-04-14,20.0
2015-04-15,18.0
2015-04-16,20.0
2015-04-17,28.0
2015-04-18,29.0
2015-04-19,32.0
2015-04-20,31.0
2015-04-21,32.0
2015-04-22,31.0
2015-04-23,31.0
2015-04-24,28.0
2015-04-25,21.0
2015-04-26,20.0
2015-04-27,30.0
2015-04-28,33.0
2015-04-29,32.0
2015-04-30,34.0
2015-05-01,34.0
2015-05-02,32.0
2015-05-03,32.0
2015-05-04,31.0
2015-05-05,30.0
2015-05-06,25.0
2015-05-07,21.0
2015-05-08,24.0
2015-05-09,29.0
2015-05-10,27.0
2015-05-11,32.0
2015-05-12,30.0
2015-05-13,25.0
2015-05-14,21.0
2015-05-15,18.0
2015-05-16,24.0
2015-05-17,28.0
2015-05-18,25.0
2015-05-19,26.0
2015-05-20,32.0
2015-05-21,31.0
2015-05-22,31.0
2015-05-23,28.0
2015-05-24,33.0
2015-05-25,33.0
2015-05-26,32.0
2015-05-27,35.0
2015-05-28,34.0
2015-05-29,38.0
2015-05-30,39.0
2015-05-31,39.0
2015-06-01,32.0
2015-06-02,29.0
2015-06-03,35.0
2015-06-04,32.0
2015-06-05,32.0
2015-06-06,33.0
2015-06-07,36.0
2015-06-08,39.0
2015-06-09,42.0
2015-06-10,41.0
2015-06-11,39.0
2015-06-12,42.0
2015-06-13,43.0
2015-06-14,41.0
2015-06-15,41.0
2015-06-16,39.0
2015-06-17,42.0
2015-06-18,41.0
2015-06-19,40.0
2015-06-20,44.0
2015-06-21,42.0
2015-06-22,37.0
2015-06-23,41.0
2015-06-24,45.0
2015-06-25,46.0
2015-06-26,47.0
2015-06-27,49.0
2015-06-28,47.0
2015-06-29,47.0
2015-06-30,48.0
2015-07-01,51.0
2015-07-02,50.0
2015-07-03,48.0
2015-07-04,46.0
2015-07-05,44.0
2015-07-06,44.0
2015-07-07,43.0
2015-07-08,39.0
2015-07-09,37.0
2015-07-10,32.0
2015-07-11,34.0
2015-07-12,37.0
2015-07-13,41.0
2015-07-14,42.0
2015-07-15,43.0
2015-07-16,44.0
2015-07-17,43.0
2015-07-18,42.0
2015-07-19,41.0
2015-07-20,42.0
2015-07-21,42.0
2015-07-22,38.0
2015-07-23,37.0
2015-07-24,35.0
2015-07-25,36.0
2015-07-26,35.0
2015-07-27,34.0
2015-07-28,40.0
2015-07-29,43.0
2015-07-30,46.0
2015-07-31,51.0
2015-08-01,44.0
2015-08-02,42.0
2015-08-03,42.0
2015-08-04,41.0
2015-08-05,39.0
2015-08-06,46.0
2015-08-07,38.0
2015-08-08,36.0
2015-08-09,39.0
2015-08-10,41.0
2015-08-11,38.0
2015-08-12,39.0
2015-08-13,43.0
2015-08-14,46.0
2015-08-15,44.0
2015-08-16,48.0
2015-08-17,45.0
2015-08-18,48.0
2015-08-19,46.0
2015-08-20,43.0
2015-08-21,44.0
2015-08-22,46.0
2015-08-23,44.0
2015-08-24,44.0
2015-08-25,44.0
2015-08-26,44.0
